[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 25300: Inserts=759000, Updates=506000, Selects=1265000, Elapsed=64s
Iteration 25400: Inserts=762000, Updates=508000, Selects=1270000, Elapsed=64s
Iteration 25500: Inserts=765000, Updates=510000, Selects=1275000, Elapsed=64s
Iteration 25600: Inserts=768000, Updates=512000, Selects=1280000, Elapsed=65s
Iteration 25700: Inserts=771000, Updates=514000, Selects=1285000, Elapsed=65s
Iteration 25800: Inserts=774000, Updates=516000, Selects=1290000, Elapsed=65s
Iteration 25900: Inserts=777000, Updates=518000, Selects=1295000, Elapsed=65s
Iteration 26000: Inserts=780000, Updates=520000, Selects=1300000, Elapsed=66s
Iteration 26100: Inserts=783000, Updates=522000, Selects=1305000, Elapsed=66s
Iteration 26200: Inserts=786000, Updates=524000, Selects=1310000, Elapsed=66s
Iteration 26300: Inserts=789000, Updates=526000, Selects=1315000, Elapsed=67s
Iteration 26400: Inserts=792000, Updates=528000, Selects=1320000, Elapsed=67s
Iteration 26500: Inserts=795000, Updates=530000, Selects=1325000, Elapsed=67s
Iteration 26600: Inserts=798000, Updates=532000, Selects=1330000, Elapsed=68s
Iteration 26700: Inserts=801000, Updates=534000, Selects=1335000, Elapsed=68s
Iteration 26800: Inserts=804000, Updates=536000, Selects=1340000, Elapsed=68s
Iteration 26900: Inserts=807000, Updates=538000, Selects=1345000, Elapsed=69s
Iteration 27000: Inserts=810000, Updates=540000, Selects=1350000, Elapsed=69s
Iteration 27100: Inserts=813000, Updates=542000, Selects=1355000, Elapsed=69s
Iteration 27200: Inserts=816000, Updates=544000, Selects=1360000, Elapsed=70s
Iteration 27300: Inserts=819000, Updates=546000, Selects=1365000, Elapsed=70s
Iteration 27400: Inserts=822000, Updates=548000, Selects=1370000, Elapsed=70s
Iteration 27500: Inserts=825000, Updates=550000, Selects=1375000, Elapsed=70s
Iteration 27600: Inserts=828000, Updates=552000, Selects=1380000, Elapsed=71s
Iteration 27700: Inserts=831000, Updates=554000, Selects=1385000, Elapsed=71s
Iteration 27800: Inserts=834000, Updates=556000, Selects=1390000, Elapsed=71s
Iteration 27900: Inserts=837000, Updates=558000, Selects=1395000, Elapsed=72s
Iteration 28000: Inserts=840000, Updates=560000, Selects=1400000, Elapsed=72s
Iteration 28100: Inserts=843000, Updates=562000, Selects=1405000, Elapsed=72s
Iteration 28200: Inserts=846000, Updates=564000, Selects=1410000, Elapsed=73s
Iteration 28300: Inserts=849000, Updates=566000, Selects=1415000, Elapsed=73s
Iteration 28400: Inserts=852000, Updates=568000, Selects=1420000, Elapsed=73s
